zinc_id,smiles
ZINC000045386094,COc1ccc(NC(=O)Nc2ccc(C(F)(F)F)cc2)cc1-c1c(Br)cnn1C
ZINC000013862367,C[C@H](N)Cc1c2ccoc2c(C(F)(F)F)c2ccoc12
ZINC000028107167,O=S(=O)(c1ccccc1F)C1(F)CCN(CCc2ccc(F)cc2F)CC1
ZINC000028528075,CC(=O)N1CC[C@@H](C)c2c(C)ccc(CCN3CCN(c4noc5ccccc45)CC3)c21
ZINC000028528076,CC(=O)N1CC[C@H](C)c2c(C)ccc(CCN3CCN(c4noc5ccccc45)CC3)c21
ZINC000029038725,CC(=O)N[C@@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21
ZINC000029038727,CC(=O)N[C@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21
ZINC000045253203,Cn1nccc1-c1cc(NC(=O)Nc2cccc(Cl)c2)ccc1OCCN1CCCCC1
ZINC000013532216,CN1CCN(C2=Cn3cccc3Sc3ccc(Cl)cc32)CC1
ZINC000013862743,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3cccc4ccccc34)[nH]c2c1
ZINC000045256605,Cn1nccc1-c1cc(NC(=O)Nc2ccc(C(F)(F)F)cc2)ccc1OCCN1CCCCC1
ZINC000013862745,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3cccnc3)[nH]c2c1
ZINC000028021649,CN1CCN(C2=Cn3cccc3Sc3ccc(F)cc32)CC1
ZINC000071317539,Cc1cccc(N2CCN(CCCCOc3ccc4c(n3)NC(=O)CC4)CC2)c1C
ZINC000013472082,COc1ccc2c(c1)CCC1(CCN(CCCC(=O)c3ccc(F)cc3)CC1)O2
ZINC000045316099,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(F)cc2)ccc1OCCN1CCCC1
ZINC000028821730,Cc1noc(Cc2c3ccoc3c(C[C@@H](C)N)c3ccoc23)n1
ZINC000028115626,O=S(=O)(c1ccc(F)cc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1
ZINC000034374447,CN1CCN(c2cccc3cc(S(=O)(=O)c4cccc(F)c4)cnc23)CC1
ZINC000000538314,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
ZINC000001483557,O[C@H]1c2ccccc2CCC12CCN(CCc1ccccc1)CC2
ZINC000001915508,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
ZINC000003802200,O[C@@H]1c2ccccc2CCC12CCN(CCc1ccccc1)CC2
ZINC000013487998,Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCCS3
ZINC000013737382,COc1cc(CCNCc2ccc(Br)cc2)c(OC)cc1Br
ZINC000013737383,COc1cc(CCNCc2ccc(I)cc2)c(OC)cc1Br
ZINC000029126582,Cc1ccc(-c2nc(Cc3ccccc3)nc3c2CCNCC3)cc1
ZINC000036425841,COc1ccc(NC(=O)Nc2ccc(OC)c(-c3c(Br)cnn3C)c2)cc1
ZINC000038240839,COc1ccc(NC(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1c(Br)cnn1C
